@@,position
---,Q737115
---,Q6866431
---,Q6866110
---,Q3741249
---,Q24060239
---,Q24060088
---,Q24060082
---,Q21103025
---,Q20933474
---,Q20528404
---,Q20528230
---,Q1760777
---,Q16403845
---,Q16402952
---,Q12361541
+++,Välisminister
+++,Tervise- ja tööminister
+++,Sotsiaalkaitseminister
+++,Siseminister
+++,Riigihalduse minister
+++,Rahandusminister
+++,Peaminister
+++,Majandus- ja taristuminister
+++,Maaeluminister
+++,Kultuuriminister
+++,Keskkonnaminister
+++,Kaitseminister
+++,Justiitsminister
+++,Haridus- ja teadusminister
+++,Ettevõtlus- ja infotehnoloogiaminister
