name,position
Andres Sutt,Ettevõtlus- ja infotehnoloogiaminister
Liina Kersna,Haridus- ja teadusminister
Maris Lauri,Justiitsminister
Kalle Laanet,Kaitseminister
Tõnis Mölder,Keskkonnaminister
Anneli Ott,Kultuuriminister
Urmas Kruuse,Maaeluminister
Taavi Aas,Majandus- ja taristuminister
Keit Pentus-Rosimannus,Rahandusminister
Jaak Aab,Riigihalduse minister
Kristian Jaani,Siseminister
Signe Riisalo,Sotsiaalkaitseminister
Tanel Kiik,Tervise- ja tööminister
Eva-Maria Liimets,Välisminister
