ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
1,Q11291608,1st Riigikogu,1920-01-01,9,,,1923-01-01,9,,,,,Q16410260,2nd Riigikogu,,,,
2,Q16410260,2nd Riigikogu,1923-06-07,11,,,1926-06-14,11,,,Q11291608,1st Riigikogu,Q12364239,3rd Riigikogu,,,,
3,Q12364239,3rd Riigikogu,1926-06-15,11,,,1929-06-14,11,,,Q16410260,2nd Riigikogu,Q16410597,4th Riigikogu,,,,
4,Q16410597,4th Riigikogu,1929-06-15,11,,,1932-06-14,11,,,Q12364239,3rd Riigikogu,Q12377911,5th Riigikogu,,,,
5,Q12377911,5th Riigikogu,1932-06-15,11,,,1937-12-31,11,,,Q16410597,4th Riigikogu,Q12377908,6th Riigikogu,,,,
6,Q12377908,6th Riigikogu,1938-04-21,11,,,1940-04-19,11,,,Q12377911,5th Riigikogu,Q12377905,7th Riigikogu,,,,
7,Q12377905,7th Riigikogu,1992-09-30,11,,,1995-03-10,11,,,Q12377908,6th Riigikogu,Q12377902,8th Riigikogu,,,,
8,Q12377902,8th Riigikogu,1995-03-11,11,,,1999-03-13,11,,,Q12377905,7th Riigikogu,Q12364289,9th Riigikogu,,,,
9,Q12364289,9th Riigikogu,1999-03-14,11,,,2003-03-21,11,,,Q12377902,8th Riigikogu,Q653547,10th Riigikogu,,,,
10,Q653547,10th Riigikogu,2003-03-22,11,,,2007-03-26,11,,,Q12364289,9th Riigikogu,Q3352921,11th Riigikogu,,,,
11,Q3352921,11th Riigikogu,2007-03-27,11,,,2011-03-26,11,,,Q653547,10th Riigikogu,Q967549,12th Riigikogu,,,,
12,Q967549,12th Riigikogu,2011-03-27,11,,,2015-03-23,11,,,Q3352921,11th Riigikogu,Q20530392,13th Riigikogu,,,,
13,Q20530392,13th Riigikogu,2015-03-30,11,,,2019-03-03,11,,,Q967549,12th Riigikogu,Q61975993,14th Riigikogu,,,,
14,Q61975993,14th Riigikogu,2019-04-04,11,,,,,,,Q20530392,13th Riigikogu,,,,,,
