item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacesLabel,replacedBy,replacedByLabel,nature,natureLabel,source,sourceName,statedName,psid
Q710956,Jaan Tõnisson,Q1760777,Minister of Foreign Affairs,,,,,,,,,,,,,,,Q710956-12FEECE7-A668-4C28-89C5-54236E4C731C
Q710956,Jaan Tõnisson,Q737115,Prime Minister of Estonia,1919-11-18,1920-07-28,,,,,,,,,,,,,Q710956-DA53B633-56AE-4AA5-AC28-E12C667FDC8F
Q710956,Jaan Tõnisson,Q737115,Prime Minister of Estonia,1920-07-30,1920-10-26,,,,,,,,,,,,,Q710956-ccca5c79-4d2b-ab4f-98be-56f9ec95e7eb
Q12364933,Jaan Õunapuu,Q23268238,Minister of Regional Affairs,2003-04-10,2007-04-05,,,,,,,,,,,,,Q12364933-8AB10532-F9A5-4141-A73F-6B064A3F9B8E
Q1410118,Jaanus Marrandi,Q16405106,Minister of Agriculture,2002-01-28,2003-04-10,,,,,,,,,,,,,Q1410118-1112BED1-8378-497E-8A32-192A374515EA
Q1375483,Jaanus Tamkivi,Q12361541,Minister of the Environment,2007-04-05,2011-04-05,,,,Q14542629,Rein Randver,,,,,,,,Q1375483-0C0874F5-F5E3-4EC3-921F-B6EDEEC979E7
Q16404169,Janek Mäggi,Q20528404,Minister of Public Administration,2018-05-02,2019-04-29,Q27907838,Jüri Ratas' first cabinet,,Q1375585,Jaak Aab,Q1375585,Jaak Aab,,,,,,Q16404169-ea225913-48ad-f2cf-bac4-8885ee0e88a7
Q12365130,Jevgeni Ossinovski,Q6866110,Minister of Education and Research,2014-03-26,2015-04-09,,,,,,,,,,,,,Q12365130-4A9037E6-4CB6-4DC9-AC7B-3C2492D6661A
Q12365130,Jevgeni Ossinovski,Q24060082,Minister of Health and Labour,2015-09-14,2018-05-02,,,,Q12373563,Rannar Vassiljev,Q52704406,Riina Sikkut,,,,,,Q12365130-45775c0d-4f82-b32a-dadf-06398b6ade88
Q12365167,Johan Müller,Q6866431,Minister of the Interior,1933-10-21,1934-03-31,,,,,,,,,,,,,Q12365167-D0B25BFC-3A97-4945-B15F-77835BABAB66
Q12365170,Johan Raid,Q6866431,Minister of the Interior,1931-11-20,1932-02-19,,,,,,,,,,,,,Q12365170-61c76ea4-4950-1b4c-415c-d7e6006b48b6
Q15705841,Johannes Friedrich Zimmermann,Q16402880,Minister of Agricultural Work,,,,,,,,,,,,,,,Q15705841-41510CA1-CCC4-41EC-9682-80C1B734FE2B
Q15705841,Johannes Friedrich Zimmermann,Q21121665,Minister of Economic Affairs and Communications,,,,,,,,,,,,,,,Q15705841-938F17F6-0E16-4B40-8F71-9A8EA5C1A19F
Q15705841,Johannes Friedrich Zimmermann,Q21103025,Minister of Finance,,,,,,,,,,,,,,,Q15705841-986C9494-65C4-4D53-804C-7D277A7BFFF2
Q1663442,Johannes Semper,Q6866110,Minister of Education and Research,,,,,,,,,,,,,,,Q1663442-8141624F-DB0A-4F11-A819-98225AD8C490
Q3739687,Johannes Sikkar,Q6866431,Minister of the Interior,1953-01-12,1960-01-01,,,,,,,,,,,,,Q3739687-CF2D3273-F329-4BB9-A233-798607A8BFB4
