item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacesLabel,replacedBy,replacedByLabel,nature,natureLabel,source,sourceName,statedName,psid
Q57640,Andrus Ansip,Q21121665,Minister of Economic Affairs and Communications,2004-09-13,2005-04-13,,,,Q1916766,Meelis Atonen,Q355241,Edgar Savisaar,,,,,,Q57640-9110df3f-44ef-88d7-ac1c-c1adb5af207a
Q57640,Andrus Ansip,Q737115,Prime Minister of Estonia,2005-04-12,2014-03-26,,,,Q312894,Juhan Parts,Q3785077,Taavi Rõivas,,,,,,Q57640-152559af-4690-09f6-a898-040d79f839ad
Q514511,Andrus Öövel,Q3741249,Minister of Defence,1995-04-01,1999-03-25,,,,,,,,,,,,,Q514511-02252BAC-A088-474C-B57C-67A665512E00
Q15983657,Anne Sulling,Q24058803,Minister of Foreign Trade and Entrepreneurship,2014-03-26,2015-04-09,,,,,,Q465437,Urve Palo,,,,,,Q15983657-9130965e-49d8-c39c-5a15-6f63b83dfe03
Q22041600,Anneli Ott,Q16402952,Minister of Culture,2021-01-26,2021-11-03,Q105071498,Kaja Kallas' cabinet,,Q1149033,Tõnis Lukas,Q12376941,Tiit Terik,,,https://www.valitsus.ee/peaminister-ministrid/valitsuse-koosseis,Anneli Ott,Kultuuriminister,Q22041600-3dea084a-4429-3409-a5e9-067bb80b57f7
Q22041600,Anneli Ott,Q16402952,Minister of Culture,2021-01-26,2021-11-03,Q105071498,Kaja Kallas' cabinet,,Q1149033,Tõnis Lukas,Q12376941,Tiit Terik,,,https://m.riigikogu.ee/pressiteated/muu-pressiteade-et/anneli-ott-naases-riigikokku/,,,Q22041600-3dea084a-4429-3409-a5e9-067bb80b57f7
Q22041600,Anneli Ott,Q20528404,Minister of Public Administration,2020-11-25,2021-01-26,Q63343147,Jüri Ratas' second cabinet,,Q1375585,Jaak Aab,Q1375585,Jaak Aab,,,,,,Q22041600-65f0c40f-4548-da58-3384-eeed76e2f056
Q16406658,Anton Teetsov,Q21103025,Minister of Finance,,,,,,,,,,,,,,,Q16406658-F020C5B5-F65F-44FF-B2C9-15D63BF76FFE
Q76445785,Ants Leemets,Q23268238,Minister of Regional Affairs,1995-04-17,1995-11-06,Q505977,Tiit Vähi's second cabinet,,,,,,,,,,,Q76445785-942b1cb4-4856-9220-9cbe-a7e89a3335ca
Q887682,Ants Piip,Q3741249,Minister of Defence,1920-10-26,1921-01-25,,,,,,,,,,,,,Q887682-45245825-0B25-44D5-9BCB-F32FFAF1B1E7
