ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q16410160,Council of Ministers of Estonian SSR,,,,,,,,,Q16410178,Q16410178,Q1720283,Edgar Savisaar's Cabinet,,,,
,Q16410178,Q16410178,,,,,,,,,Q6217029,Johannes Vares' cabinet,Q16410160,Council of Ministers of Estonian SSR,,,,
,Q2114143,Konstantin Päts' third provisional cabinet,1918-11-27,11,,,1919-05-08,11,,,,,Q1720350,Otto Strandman's first cabinet,,,,
,Q1720350,Otto Strandman's first cabinet,1919-05-08,11,,,1919-11-18,11,,,Q2114143,Konstantin Päts' third provisional cabinet,Q1720418,Jaan Tõnisson's first cabinet,,,,
,Q1720418,Jaan Tõnisson's first cabinet,1919-11-18,11,,,1920-07-28,11,,,Q1720350,Otto Strandman's first cabinet,Q1719753,Ado Birk's cabinet,,,,
,Q1719753,Ado Birk's cabinet,1920-07-28,11,,,1920-07-30,11,,,Q1720418,Jaan Tõnisson's first cabinet,Q1720419,Jaan Tõnisson's second cabinet,,,,
,Q1720419,Jaan Tõnisson's second cabinet,1920-07-30,11,,,1920-10-26,11,,,Q1719753,Ado Birk's cabinet,Q1720215,Ants Piip's cabinet,,,,
,Q1720215,Ants Piip's cabinet,1920-10-26,11,,,1921-01-25,11,,,Q1720419,Jaan Tõnisson's second cabinet,Q1720225,Konstantin Päts' first cabinet,,,,
,Q1720225,Konstantin Päts' first cabinet,1921-01-25,11,,,1922-11-21,11,,,Q1720215,Ants Piip's cabinet,Q290683,Juhan Kukk's cabinet,,,,
,Q290683,Juhan Kukk's cabinet,1922-11-21,11,,,1923-08-02,11,,,Q1720225,Konstantin Päts' first cabinet,Q1720227,Konstantin Päts' second cabinet,,,,
,Q1720227,Konstantin Päts' second cabinet,1923-08-02,11,,,1924-03-26,11,,,Q290683,Juhan Kukk's cabinet,Q1719690,Friedrich Akel's cabinet,,,,
,Q1719690,Friedrich Akel's cabinet,1924-03-26,11,,,1924-12-16,11,,,Q1720227,Konstantin Päts' second cabinet,Q1558967,Jüri Jaakson's cabinet,,,,
,Q1558967,Jüri Jaakson's cabinet,1924-12-16,11,,,1925-12-15,11,,,Q1719690,Friedrich Akel's cabinet,Q1720386,Jaan Teemant's first cabinet,,,,
,Q1720386,Jaan Teemant's first cabinet,1925-12-15,11,,,1926-07-23,11,,,Q1558967,Jüri Jaakson's cabinet,Q1720387,Jaan Teemant's second cabinet,,,,
,Q1720387,Jaan Teemant's second cabinet,1926-07-23,11,,,1927-03-04,11,,,Q1720386,Jaan Teemant's first cabinet,Q1720389,Jaan Teemant's third cabinet,,,,
,Q1720389,Jaan Teemant's third cabinet,1927-03-04,11,,,1927-12-09,11,,,Q1720387,Jaan Teemant's second cabinet,Q12364925,Jaan Tõnisson's third cabinet,,,,
,Q12364925,Jaan Tõnisson's third cabinet,1927-12-09,11,,,1928-12-04,11,,,Q1720389,Jaan Teemant's third cabinet,Q277961,August Rei's cabinet,,,,
