item,itemLabel,inception,startTime,abolished,endTime,isa,isaLabel,parent,parentLabel,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
Q2114143,Konstantin Päts' third provisional cabinet,1918-11-27T00:00:00Z,,1919-05-08T00:00:00Z,,Q2421589,Government of Estonia,,,,,Q1720350,Otto Strandman's first cabinet,,,,
Q1720350,Otto Strandman's first cabinet,1919-05-08T00:00:00Z,,1919-11-18T00:00:00Z,,Q2421589,Government of Estonia,,,Q2114143,Konstantin Päts' third provisional cabinet,Q1720418,Jaan Tõnisson's first cabinet,,,,
Q1720418,Jaan Tõnisson's first cabinet,1919-11-18T00:00:00Z,,1920-07-28T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720350,Otto Strandman's first cabinet,Q1719753,Ado Birk's cabinet,,,,
Q1719753,Ado Birk's cabinet,1920-07-28T00:00:00Z,,1920-07-30T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720418,Jaan Tõnisson's first cabinet,Q1720419,Jaan Tõnisson's second cabinet,,,,
Q1720419,Jaan Tõnisson's second cabinet,1920-07-30T00:00:00Z,,1920-10-26T00:00:00Z,,Q2421589,Government of Estonia,,,Q1719753,Ado Birk's cabinet,Q1720215,Ants Piip's cabinet,,,,
Q1720215,Ants Piip's cabinet,1920-10-26T00:00:00Z,,1921-01-25T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720419,Jaan Tõnisson's second cabinet,Q1720225,Konstantin Päts' first cabinet,,,,
Q1720225,Konstantin Päts' first cabinet,1921-01-25T00:00:00Z,,1922-11-21T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720215,Ants Piip's cabinet,Q290683,Juhan Kukk's cabinet,,,,
Q290683,Juhan Kukk's cabinet,1922-11-21T00:00:00Z,,1923-08-02T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720225,Konstantin Päts' first cabinet,Q1720227,Konstantin Päts' second cabinet,,,,
Q1720227,Konstantin Päts' second cabinet,1923-08-02T00:00:00Z,,1924-03-26T00:00:00Z,,Q2421589,Government of Estonia,,,Q290683,Juhan Kukk's cabinet,Q1719690,Friedrich Akel's cabinet,,,,
Q1719690,Friedrich Akel's cabinet,1924-03-26T00:00:00Z,,1924-12-16T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720227,Konstantin Päts' second cabinet,Q1558967,Jüri Jaakson's cabinet,,,,
Q1558967,Jüri Jaakson's cabinet,1924-12-16T00:00:00Z,,1925-12-15T00:00:00Z,,Q2421589,Government of Estonia,,,Q1719690,Friedrich Akel's cabinet,Q1720386,Jaan Teemant's first cabinet,,,,
Q1720386,Jaan Teemant's first cabinet,1925-12-15T00:00:00Z,,1926-07-23T00:00:00Z,,Q2421589,Government of Estonia,,,Q1558967,Jüri Jaakson's cabinet,Q1720387,Jaan Teemant's second cabinet,,,,
Q1720387,Jaan Teemant's second cabinet,1926-07-23T00:00:00Z,,1927-03-04T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720386,Jaan Teemant's first cabinet,Q1720389,Jaan Teemant's third cabinet,,,,
Q1720389,Jaan Teemant's third cabinet,1927-03-04T00:00:00Z,,1927-12-09T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720387,Jaan Teemant's second cabinet,Q12364925,Jaan Tõnisson's third cabinet,,,,
Q12364925,Jaan Tõnisson's third cabinet,1927-12-09T00:00:00Z,,1928-12-04T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720389,Jaan Teemant's third cabinet,Q277961,August Rei's cabinet,,,,
Q277961,August Rei's cabinet,1928-12-04T00:00:00Z,,1929-07-09T00:00:00Z,,Q2421589,Government of Estonia,,,Q12364925,Jaan Tõnisson's third cabinet,Q1666111,Otto Strandman's 2nd cabinet,,,,
Q1666111,Otto Strandman's 2nd cabinet,1929-07-09T00:00:00Z,,1931-02-12T00:00:00Z,,Q2421589,Government of Estonia,,,Q277961,August Rei's cabinet,Q1453784,Konstantin Päts' third cabinet,,,,
Q1453784,Konstantin Päts' third cabinet,1931-02-12T00:00:00Z,,1932-02-19T00:00:00Z,,Q2421589,Government of Estonia,,,Q1666111,Otto Strandman's 2nd cabinet,Q1720391,Jaan Teeman's fourth cabinet,,,,
Q1720391,Jaan Teeman's fourth cabinet,1932-02-19T00:00:00Z,,1932-07-19T00:00:00Z,,Q2421589,Government of Estonia,,,Q1453784,Konstantin Päts' third cabinet,Q1719868,Karl Einbund's first cabinet,,,,
Q1719868,Karl Einbund's first cabinet,1932-07-19T00:00:00Z,,1932-11-01T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720391,Jaan Teeman's fourth cabinet,Q1720228,Konstantin Päts' fourth cabinet,,,,
Q1720228,Konstantin Päts' fourth cabinet,1932-11-01T00:00:00Z,,1933-05-18T00:00:00Z,,Q2421589,Government of Estonia,,,Q1719868,Karl Einbund's first cabinet,Q1720420,Jaan Tõnisson's fourth cabinet,,,,
Q1720420,Jaan Tõnisson's fourth cabinet,1933-05-18T00:00:00Z,,1933-10-21T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720228,Konstantin Päts' fourth cabinet,Q1720230,Konstantin Päts' fifth cabinet,,,,
Q1720230,Konstantin Päts' fifth cabinet,1933-10-21T00:00:00Z,,1938-05-09T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720420,Jaan Tõnisson's fourth cabinet,Q1531403,Kaarel Eenpalu's second cabinet,,,,
Q1531403,Kaarel Eenpalu's second cabinet,1938-05-09T00:00:00Z,,1939-10-12T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720230,Konstantin Päts' fifth cabinet,Q1720428,Jüri Uluots' cabinet,,,,
Q1720428,Jüri Uluots' cabinet,1939-10-12T00:00:00Z,,1940-06-21T00:00:00Z,,Q2421589,Government of Estonia,,,Q1531403,Kaarel Eenpalu's second cabinet,Q12371708,Otto Tief's cabinet,,,,
Q6217029,Johannes Vares' cabinet,1940-06-21T00:00:00Z,,1940-08-25T00:00:00Z,,Q2421589,Government of Estonia,,,,,,,,,,
Q12371708,Otto Tief's cabinet,1944-09-18T00:00:00Z,,1953-01-12T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720428,Jüri Uluots' cabinet,,,,,,
Q12365388,Johannes Sikkar's cabinet,1953-01-12T00:00:00Z,,1962-01-01T00:00:00Z,,Q2421589,Government of Estonia,,,,,,,,,,
Q26425771,Aleksander Warma's cabinet,1962-01-01T00:00:00Z,,1963-03-29T00:00:00Z,,Q678116,government in exile,,,,,Q20191978,Tõnis Kint's cabinet,,,,
Q26425771,Aleksander Warma's cabinet,1962-01-01T00:00:00Z,,1963-03-29T00:00:00Z,,Q2421589,Government of Estonia,,,,,Q20191978,Tõnis Kint's cabinet,,,,
Q20191978,Tõnis Kint's cabinet,1964-03-01T00:00:00Z,,1971-05-08T00:00:00Z,,Q2421589,Government of Estonia,,,Q26425771,Aleksander Warma's cabinet,,,,,,
Q26425770,Heinrich Mark's cabinet,1971-05-08T00:00:00Z,,1990-03-01T00:00:00Z,,Q2421589,Government of Estonia,,,,,,,,,,
Q24952656,Enno Penno's cabinet,1990-06-20T00:00:00Z,,1992-09-15T00:00:00Z,,Q2421589,Government of Estonia,,,,,Q1720283,Edgar Savisaar's Cabinet,,,,
Q1720283,Edgar Savisaar's Cabinet,1991-08-20T00:00:00Z,,1992-01-29T00:00:00Z,,Q2421589,Government of Estonia,,,Q16410160,Council of Ministers of Estonian Soviet Socialist Republic,Q1720457,Tiit Vähi's first cabinet,,,,
Q1720283,Edgar Savisaar's Cabinet,1991-08-20T00:00:00Z,,1992-01-29T00:00:00Z,,Q2421589,Government of Estonia,,,Q24952656,Enno Penno's cabinet,Q1720457,Tiit Vähi's first cabinet,,,,
Q1720457,Tiit Vähi's first cabinet,1992-01-30T00:00:00Z,,1992-10-21T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720283,Edgar Savisaar's Cabinet,Q1466222,Mart Laar's first cabinet,,,,
Q1466222,Mart Laar's first cabinet,1992-10-21T00:00:00Z,,1994-11-08T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720457,Tiit Vähi's first cabinet,Q505982,Andres Tarand's cabinet,,,,
