item,itemLabel,inception,startTime,abolished,endTime,isa,isaLabel,parent,parentLabel,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
Q505982,Andres Tarand's cabinet,1994-11-08T00:00:00Z,,1995-04-17T00:00:00Z,,Q2421589,Government of Estonia,,,Q1466222,Mart Laar's first cabinet,Q505977,Tiit Vähi's second cabinet,,,,
Q505977,Tiit Vähi's second cabinet,1995-04-17T00:00:00Z,,1995-11-06T00:00:00Z,,Q2421589,Government of Estonia,,,Q505982,Andres Tarand's cabinet,Q1720459,Tiit Vähi's third cabinet,,,,
Q1720459,Tiit Vähi's third cabinet,1995-11-06T00:00:00Z,,1997-03-17T00:00:00Z,,Q2421589,Government of Estonia,,,Q505977,Tiit Vähi's second cabinet,Q505964,Mart Siimann's cabinet,,,,
Q505964,Mart Siimann's cabinet,1997-03-17T00:00:00Z,,1999-03-25T00:00:00Z,,Q2421589,Government of Estonia,,,Q1720459,Tiit Vähi's third cabinet,Q1228936,Mart Laar's second cabinet,,,,
Q1228936,Mart Laar's second cabinet,1999-03-25T00:00:00Z,,2002-01-28T00:00:00Z,,Q2421589,Government of Estonia,,,Q505964,Mart Siimann's cabinet,Q1234732,Siim Kallas' cabinet,,,,
Q1234732,Siim Kallas' cabinet,2002-01-28T00:00:00Z,,2003-04-10T00:00:00Z,,Q2421589,Government of Estonia,,,Q1228936,Mart Laar's second cabinet,Q1530921,Juhan Parts' cabinet,,,,
Q1530921,Juhan Parts' cabinet,2003-04-10T00:00:00Z,,2005-04-13T00:00:00Z,,Q2421589,Government of Estonia,,,Q1234732,Siim Kallas' cabinet,Q1719710,Andrus Ansip's first cabinet,,,,
Q1719710,Andrus Ansip's first cabinet,2005-04-13T00:00:00Z,,2007-04-05T00:00:00Z,,Q2421589,Government of Estonia,,,Q1530921,Juhan Parts' cabinet,Q1719713,Andrus Ansip's second cabinet,,,,
Q1719713,Andrus Ansip's second cabinet,2007-04-05T00:00:00Z,,2011-04-06T00:00:00Z,,Q2421589,Government of Estonia,,,Q1719710,Andrus Ansip's first cabinet,Q671825,Andrus Ansip's third cabinet,Q1719710,Andrus Ansip's first cabinet,Q671825,Andrus Ansip's third cabinet
Q671825,Andrus Ansip's third cabinet,2011-04-06T00:00:00Z,,2014-03-26T00:00:00Z,,Q2421589,Government of Estonia,,,Q1719713,Andrus Ansip's second cabinet,Q15980310,Taavi Rõivas' first cabinet,Q1719713,Andrus Ansip's second cabinet,Q15980310,Taavi Rõivas' first cabinet
Q15980310,Taavi Rõivas' first cabinet,2014-03-26T00:00:00Z,,2015-03-30T00:00:00Z,,Q2421589,Government of Estonia,,,Q671825,Andrus Ansip's third cabinet,Q19776482,Taavi Rõivas' second cabinet,Q671825,Andrus Ansip's third cabinet,Q19776482,Taavi Rõivas' second cabinet
Q19776482,Taavi Rõivas' second cabinet,2015-04-09T00:00:00Z,,2016-11-23T00:00:00Z,,Q2421589,Government of Estonia,,,Q15980310,Taavi Rõivas' first cabinet,Q27907838,Jüri Ratas' first cabinet,Q15980310,Taavi Rõivas' first cabinet,,
Q27907838,Jüri Ratas' first cabinet,2016-11-23T00:00:00Z,,2019-04-29T00:00:00Z,,Q2421589,Government of Estonia,,,Q19776482,Taavi Rõivas' second cabinet,Q63343147,Jüri Ratas' second cabinet,,,,
Q63343147,Jüri Ratas' second cabinet,2019-04-29T00:00:00Z,,2021-01-14T00:00:00Z,,Q2421589,Government of Estonia,,,Q27907838,Jüri Ratas' first cabinet,Q105071498,Kaja Kallas' cabinet,,,,
Q105071498,Kaja Kallas' cabinet,2021-01-26T00:00:00Z,,,,Q2421589,Government of Estonia,,,Q63343147,Jüri Ratas' second cabinet,,,,,,

